count	crunchbase_term	canonical_sector
13	Hardware	Hardware
13	Virtual Reality	
13	Space Travel	SpaceTech & Aerospace
13	Textiles	
12	Risk Management	
12	Energy Management	Energy
12	Cloud Infrastructure	SaaS
12	Genetics	BioTech
12	Nutrition	FoodTech
12	Organic Food	FoodTech
12	Sporting Goods	
12	Web Apps	
12	Collaboration	SaaS
12	Venture Capital	
12	Art	
12	Employee Benefits	
12	Mobile Payments	FinTech
12	Product Design	
12	B2C	
12	Interior Design	PropTech
11	Legal Tech	
11	Publishing	
11	Video	Entertainment
11	Industrial Automation	Hardware
11	Neuroscience	
11	Impact Investing	
11	Metaverse	Web3
11	Data Management	
11	Asset Management	FinTech
11	Database	SaaS
10	Leisure	TravelTech
10	Consumer	
10	Search Engine	MarTech
10	Shipping	Mobility
10	Software Engineering	SaaS
10	Industrial Manufacturing	Hardware
10	Chemical	
10	Events	
10	Cloud Data Services	SaaS
10	Advice	
10	Marketing Automation	MarTech
10	Digital Media	
10	Travel Agency	TravelTech
9	Clean Energy	CleanTech
9	Cloud Management	SaaS
9	Telecommunications	
9	Food Delivery	FoodTech
9	Credit	FinTech
9	Drones	Drones
9	Sensor	Hardware
9	Oncology	
9	Bitcoin	
9	Machinery Manufacturing	
9	Optical Communication	
9	Staffing Agency	
9	Social Network	
9	Personal Finance	FinTech
9	Product Research	
9	Sales Automation	
9	Catering	FoodTech
9	Augmented Reality	
8	Data Visualization	SaaS
8	Alternative Protein	FoodTech
8	Brand Marketing	MarTech
8	Hotel	TravelTech
8	Developer Platform	SaaS
8	Satellite Communication	SpaceTech & Aerospace
8	Delivery Service	
8	Furniture	
8	PropTech	PropTech
8	Knowledge Management	
8	Generative AI	Artificial Intelligence
8	Grocery	
8	E-Commerce Platforms	
8	Infrastructure	
8	Organic	
8	Natural Language Processing	Artificial Intelligence
8	Fleet Management	Mobility
8	Industrial Engineering	
7	Charging Infrastructure	
7	Wholesale	
7	Outsourcing	
7	Veterinary	HealthTech
7	Commercial	
7	PaaS	
7	Real Time	
7	Rental Property	PropTech
7	Legal	LegalTech
7	Data Integration	SaaS
7	Residential	PropTech
7	Sharing Economy	
7	Home Services	
7	Freelance	
7	Data Center	
7	Small and Medium Businesses	
7	Children	
7	Commercial Real Estate	PropTech
7	Air Transportation	
7	Mechanical Engineering	
7	Privacy	Cybersecurity
7	Winery	
6	Animal Feed	AgriTech
6	Energy Efficiency	CleanTech
6	Clinical Trials	
6	Vacation Rental	TravelTech
6	Marine Transportation	
6	Video Streaming	Entertainment
6	Tutoring	EdTech
6	Wireless	
6	IT Infrastructure	
6	Data Storage	
6	Innovation Management	
6	Architecture	PropTech
6	Auto Insurance	
6	Child Care	
6	Business Information Systems	
6	Water	
6	Subscription Service	
6	Home Decor	PropTech
6	Women's	
6	Corporate Training	EdTech
6	Property Development	
6	Higher Education	EdTech
6	Compliance	LegalTech
6	Non Profit	
6	Digital Signage	
6	Smart Contracts	
6	Web Design	
6	Public Safety	
6	Boating	
6	SEO	MarTech
6	Decentralized Finance (DeFi)	
6	Project Management	SaaS
5	Trading Platform	FinTech
5	Audio	
5	Freight Service	
5	Image Recognition	
5	Oil and Gas	Energy
5	Emergency Medicine	
5	Home Health Care	HealthTech
5	Skill Assessment	
5	Drone Management	
5	Cycling	
5	PC Games	Gaming
5	Dietary Supplements	
5	Smart Building	
5	Lifestyle	
5	Advertising Platforms	
5	Commercial Insurance	
5	Building Material	PropTech
5	Broadcasting	
5	Embedded Software	
5	Social Impact	
5	Video Conferencing	
5	Autonomous Vehicles	Mobility
5	Smart Cities	CleanTech
5	Personal Development	
5	News	
5	Life Insurance	
5	iOS	
5	Edutainment	
4	Transaction Processing	
4	Contact Management	
4	Photo Sharing	
4	Geospatial	
4	Ride Sharing	Mobility
4	Email	
4	Quantum Computing	DeepTech
4	Plant-Based Foods	
4	Identity Management	Cybersecurity
4	Enterprise Resource Planning (ERP)	SaaS
4	Management Consulting	
4	Fraud Detection	Cybersecurity
4	Warehousing	
4	Nanotechnology	DeepTech
4	Lending	FinTech
4	Fertility	
4	Embedded Systems	
4	Mental Health	HealthTech
4	Funding Platform	
4	Animation	
4	Virtual World	
4	Dental	HealthTech
4	Home Renovation	PropTech
4	Content	
4	3D Printing	Hardware
4	Non-Fungible Token (NFT)	
4	Home Improvement	
4	Dating	
4	Content Creators	Entertainment
4	IT Management	
4	Adventure Travel	
4	Electronic Health Record (EHR)	HealthTech
4	Gift	
4	Quality Assurance	
4	Data Collection and Labeling	
4	Cannabis	
4	Angel Investment	
4	Biometrics	
4	Creative Agency	
4	Reservations	
4	Document Management	SaaS
4	Private Social Networking	
4	Navigation	
4	Film Production	
4	Ethereum	
4	Plastics and Rubber Manufacturing	
4	Jewelry	E-commerce & Retail
4	DevOps	
3	Nuclear	
3	Email Marketing	MarTech
3	Billing	SaaS
3	Penetration Testing	
3	Semantic Search	
3	Advanced Materials	DeepTech
3	Biomass Energy	BioTech
3	Civil Engineering	
3	Elder Care	HealthTech
3	Physical Security	
3	Technical Support	
3	Management Information Systems	
3	Crowdfunding	
3	Last Mile Transportation	Mobility
3	Self-Storage	
3	Lead Generation	MarTech
3	Employment	
3	Direct Sales	
3	Podcast	Entertainment
3	Facilities Support Services	
3	Mobile Devices	
3	Ticketing	
3	Telehealth	HealthTech
3	Aquaculture	AgriTech
3	eSports	Gaming
3	Soccer	
3	Content Marketing	MarTech
3	Video Editing	
3	Console Games	Gaming
3	Virtual Goods	
3	Test and Measurement	
3	Mapping Services	
3	Product Management	
3	Casual Games	Gaming
3	Cooking	FoodTech
3	Financial Exchanges	FinTech
3	Home and Garden	
3	Electrical Distribution	Hardware
3	Power Grid	Energy
3	Travel Accommodations	
3	Location Based Services	
3	Event Management	
3	Secondhand Goods	E-commerce & Retail
3	Digital Entertainment	
3	Toys	
3	Hospital	HealthTech
3	Business Travel	
3	Meeting Software	
3	Information and Communications Technology (ICT)	
3	Religion	
3	E-Signature	
3	Water Purification	ClimateTech
3	Chatbot	Artificial Intelligence
3	Recreation	Entertainment
2	Credit Cards	FinTech
2	Translation Service	
2	GPS	
2	Meat and Poultry	FoodTech
2	Military	DefenseTech
2	Human Computer Interaction	
2	Procurement	
2	Photo Editing	
2	Chemical Engineering	
2	Car Sharing	
2	Collaborative Consumption	
2	Peer to Peer	
2	Vertical Search	
2	Coworking	
2	Natural Resources	
2	Building Maintenance	
2	Shoes	
2	Dairy	
2	Forestry	
2	Social	
2	Text Analytics	
2	DIY	
2	Web Hosting	
2	Eyewear	
2	Point of Sale	
2	Professional Networking	
2	Cloud Storage	SaaS
2	Laser	
2	Data Center Automation	
2	Android	
2	Outdoors	
2	Facility Management	
2	Serious Games	
2	Recipes	
2	Loyalty Programs	
2	Social Media Advertising	
2	Assistive Technology	
2	Family	
2	Recreational Vehicles	
2	Performing Arts	Entertainment
2	Packaging Services	
2	Flowers	
2	Incubators	
2	Market Research	
2	Personalization	
2	Simulation	
2	Green Building	ClimateTech
2	Pollution Control	
2	Messaging	
2	mHealth	HealthTech
2	Task Management	
2	Debit Cards	
2	Fast-Moving Consumer Goods	
2	Application Performance Management	
2	Bakery	
2	Enterprise Applications	SaaS
2	AI Infrastructure	Artificial Intelligence
2	IaaS	
2	Social CRM	
2	Fantasy Sports	SportsTech
2	TV	Entertainment
2	Same Day Delivery	Mobility
2	SEM	MarTech
2	Web Browsers	SaaS
2	Mining	Hardware
2	Precious Metals	Hardware
2	Operating Systems	SaaS
2	Smart Home	PropTech
2	Wearables	Hardware
2	CivicTech	Other
2	Consumer Applications	E-commerce & Retail
2	Coffee	FoodTech
2	Graphic Design	SaaS
2	Remote Sensing	Hardware
2	Career Planning	SaaS
2	Data Governance	SaaS
1	Intrusion Detection	
1	Intelligent Systems	
1	Hydroelectric	CleanTech
1	Parking	Mobility
1	National Security	
1	Taxi Service	
1	Photography	Entertainment
1	Geothermal Energy	
1	Real Estate Brokerage	
1	CAD	
1	Guides	
1	Home Appliances	
1	Heating	
1	Ventilation	
1	and Air Conditioning (HVAC)	
1	Seafood	
1	Teenagers	
1	Stock Exchanges	
1	Electronic Design Automation (EDA)	
1	Agentic AI	Artificial Intelligence
1	Internet Radio	
1	Nightlife	
1	Data Mining	
1	Sales Enablement	
1	Music Label	
1	Green Consumer Goods	
1	Scheduling	
1	GovTech	
1	Outdoor Advertising	
1	Homeland Security	DefenseTech
1	Journalism	
1	Social Entrepreneurship	
1	Facial Recognition	
1	Speech Recognition	
1	Robotic Process Automation (RPA)	
1	UX Design	
1	Gamification	
1	Social News	
1	Collectibles	
1	Baby	HealthTech
1	Lead Management	
1	Event Promotion	
1	Parenting	
1	Online Forums	
1	Concerts	
1	Surfing	
1	EBooks	
1	Collection Agency	
1	Debt Collections	
1	QR Codes	
1	Personal Branding	
1	Private Cloud	
1	Alternative Medicine	
1	Carbon Capture	ClimateTech
1	Public Transportation	Mobility
1	Film	Entertainment
1	Handmade	
1	Music Education	
1	Consumer Software	
1	Fuel	
1	Psychology	
1	Field Support	
1	Confectionery	
1	Consumer Reviews	
1	Gift Exchange	
1	Men's	
1	SMS	
1	Network Hardware	
1	Paper Manufacturing	
1	Government	
1	Coupons	E-commerce & Retail
1	HealthTech	HealthTech
1	AI	Artificial Intelligence
1	BioTech	BioTech
1	Wind Energy	CleanTech
1	Marine Technology	Mobility
1	Enterprise	SaaS
1	Call Center	SaaS
1	Gambling	Entertainment
1	Property Insurance	InsurTech
1	Assisted Living	HealthTech
1	Hydroponics	AgriTech
1	Independent Music	Entertainment
1	Bioinformatics	BioTech
1	Rehabilitation	HealthTech
1	Horticulture	AgriTech
1	Ad Network	MarTech
1	MOOC	EdTech
1	Law Enforcement	LegalTech
1	Vocational Education	EdTech
1	Leasing	FinTech
1	Diving	Other
1	Fuel Cell	CleanTech
1	Cosmetic Surgery	HealthTech
1	Tea	FoodTech
1	Online Auctions	E-commerce & Retail
1	Personal Care and Hygiene	E-commerce & Retail
1	Gift Card	E-commerce & Retail
1	Retirement	FinTech
1	Ad Server	MarTech
1	Affiliate Marketing	MarTech
1	CMS	SaaS
1	Semantic Web	Artificial Intelligence
1	Musical Instruments	Entertainment
1	Amusement Park and Arcade	Entertainment
1	Playstation	Gaming
1	Audio Recording and Production	Entertainment
1	Music Streaming	Entertainment
1	Virtualization	SaaS
1	Social Shopping	E-commerce & Retail
1	Lighting	PropTech
1	Politics	Other
1	Cleaning Products	E-commerce & Retail
1	MMO Games	Gaming
1	TV Production	Entertainment
1	Apparel	E-commerce & Retail
1	Primary Education	EdTech
1	Nursing and Residential Care	HealthTech
1	Funerals	Other
