count	crunchbase_term	canonical_sector
1	Natural Resources	
1	Geothermal Energy	
1	Real Estate Brokerage	
1	Shoes	
1	Dairy	
1	CAD	
1	Dental	HealthTech
1	Last Mile Transportation	Mobility
1	Guides	
1	Self-Storage	
1	DIY	
1	Home Appliances	
1	Heating	
1	Ventilation	
1	and Air Conditioning (HVAC)	
1	Employment	
1	Tutoring	
1	Seafood	
1	Teenagers	
1	Stock Exchanges	
1	Direct Sales	
1	Electronic Design Automation (EDA)	
1	Agentic AI	Artificial Intelligence
1	Internet Radio	
1	Podcast	Entertainment
1	Facilities Support Services	
1	Eyewear	
1	Point of Sale	
1	Mobile Devices	
1	Nightlife	
1	Small and Medium Businesses	
1	Aquaculture	AgriTech
1	Data Mining	
1	Sales Enablement	
1	Soccer	
1	Content Marketing	MarTech
1	Music Label	
1	Video Editing	
1	Green Consumer Goods	
1	Laser	
1	Virtual Goods	
1	Scheduling	
1	GovTech	
1	Electronic Health Record (EHR)	HealthTech
1	Outdoor Advertising	
1	Video Conferencing	
1	Android	
1	Outdoors	
1	Data Collection and Labeling	
1	Homeland Security	DefenseTech
1	Cooking	FoodTech
1	Recipes	
1	Journalism	
1	Loyalty Programs	
1	Home and Garden	
1	Social Media Advertising	
1	Social Entrepreneurship	
1	Facial Recognition	
1	Speech Recognition	
1	Robotic Process Automation (RPA)	
1	Assistive Technology	
1	UX Design	
1	Biometrics	
1	Gamification	
1	Social News	
1	Collectibles	
1	Baby	HealthTech
1	Family	
1	Recreational Vehicles	
1	Performing Arts	Entertainment
1	Lead Management	
1	Event Management	
1	Event Promotion	
1	Parenting	
1	Online Forums	
1	Concerts	
1	Surfing	
1	Digital Entertainment	
1	EBooks	
1	Flowers	
1	Hospital	HealthTech
1	Collection Agency	
1	Debt Collections	
1	Incubators	
1	Meeting Software	
1	QR Codes	
1	Personal Branding	
1	Private Cloud	
1	SEO	MarTech
1	Market Research	
1	Alternative Medicine	
1	Simulation	
1	Carbon Capture	ClimateTech
1	Public Transportation	Mobility
1	Film	Entertainment
1	Handmade	
1	Pollution Control	
1	Information and Communications Technology (ICT)	
1	iOS	
1	Religion	
1	Music Education	
1	Ethereum	
1	Consumer Software	
1	mHealth	HealthTech
1	Fuel	
1	Psychology	
1	Debit Cards	
1	Plastics and Rubber Manufacturing	
1	Field Support	
1	Application Performance Management	
1	Bakery	
1	Confectionery	
1	Consumer Reviews	
1	Gift Exchange	
1	DevOps	
1	E-Signature	
1	Men's	
1	Enterprise Applications	SaaS
1	IaaS	
1	SMS	
1	Social CRM	
1	Network Hardware	
1	Edutainment	
1	Paper Manufacturing	
1	Government	
