Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Organization Description,Investor Names,Organization Industries,SIREN
Home Biosciences,"Paris, Ile-de-France, France, Europe",Seed,15000000,USD,2021-11-09,https://homebiosciences.com/,Home Biosciences is a European venture builder dedicated to biotech.,"Redmile Group, Sofinnova Partners","Biotechnology, Medical",
Homa Games,"Paris, Ile-de-France, France, Europe",Seed,15000000,USD,2021-02-08,https://homagames.com,Homa Games is a gaming technology platform that publishes and creates mobile games for studios and developers.,"Alexis Bonillo, Headline, Idinvest Partners, Jean-Marie Messier, OneRagtime, Vladimir Lasocki","Gaming, Mobile Apps, Online Games, Publishing, Software",
Numeral,"Paris, Ile-de-France, France, Europe",Seed,13000000,EUR,2021-12-21,https://www.numeral.io/,"Numeral is a payment automation API designed for modern financial institutions, digital firms, and businesses.","Alexandre Prot, Balderton Capital, Didier Valet, Guillaume Princen, Kima Ventures, Paul Vidal, Tom Blomfield","Finance, Financial Services, FinTech",
EG 427,"Paris, Ile-de-France, France, Europe",Series A,12000000,EUR,2021-03-01,https://www.eg427.com,EG 427 is a French biotechnology company that pioneers a new approach in gene therapy called pinpoint gene therapy.,"David Lamond, Stephane Boissel","Biotechnology, Genetics, Therapeutics",
Angell,"Paris, Ile-de-France, France, Europe",Series A,12000000,EUR,2021-07-05,https://angell.bike/,Angell is an e-bike startup with a mission to improve everyday life in cities.,"FJ Labs, SEB Alliance","Retail, Shopping",
See You Sun,"Rennes, Bretagne, France, Europe",Series A,12000000,EUR,2021-03-24,https://www.seeyousun.fr/,See You Sun provides electric mobility and renewable energy production solutions.,"Banque des Territoires, Demeter","Environmental Consulting, Renewable Energy",
Witco,"Paris, Ile-de-France, France, Europe",Series A,12000000,EUR,2021-09-28,https://www.witco.io/,Witco is the all-in-one app for life at work.,"Daphni, Eurazeo, Naxicap Partners, UL Invest","Human Resources, SaaS, Smart Building, Software",
Powder,"Paris, Ile-de-France, France, Europe",Series A,14000000,USD,2021-02-09,https://powder.gg,Powder is a mobile app that enables gamers to create the best gaming clips and share exiting gaming stories.,"Alven, Banana Capital, Bpifrance, General Catalyst, Kevin Hartz, Secocha Ventures, Serena, Slow Ventures","Gaming, Media and Entertainment, Video Games",
Mindee,"Paris, Ile-de-France, France, Europe",Series A,14000000,USD,2021-10-06,https://mindee.com,Mindee offers a tailor-made artificial intelligence solution that transforms documents into usable data.,"Alexis Le-Quoc, Alven, Bpifrance, Nicolas Dessaigne, Notable Capital, Serena","Artificial Intelligence (AI), Machine Learning, Open Source, SaaS, Web Apps",
MainBot,"Paris, Ile-de-France, France, Europe",Series B,12000000,EUR,2021-10-27,http://www.mainbot.me,"MainBot is robotics company that develops Winky, a modular and educational robot companion for children.",,"Education, Edutainment, Robotics",
Corteria Pharmaceuticals,"Paris, Ile-de-France, France, Europe",Seed,12000000,EUR,2021-12-09,https://www.corteriapharma.com/,Corteria Pharmaceuticals develops first-in-class drugs in heart failure subpopulations.,"Invivo Capital Partners, Kurma Partners, Omnes Capital, V-Bio Ventures","Biotechnology, Pharmaceutical, Therapeutics",
Masteos,"Paris, Ile-de-France, France, Europe",Seed,11395000,EUR,2021-09-21,https://www.masteos.com/,Masteos is a rental investment advisory firm.,Daphni,"Real Estate, Real Estate Investment, Rental Property",
PDC*line Pharma,"La Tronche, Rhone-Alpes, France, Europe",Series B,11800000,EUR,2021-12-06,http://pdc-line-pharma.com/,PDC*line Pharma develops a new class of active immunotherapies for cancer based on an allogeneic cell line of plasmacytoid dendritic cells.,"Alpha Holdings, Brain Asset Management, Hansongneotech, Korea Investment Partners, Meusinvest (Noshaq), Sambrinvest, SFPI-FPIM, S.R.I.W., UTC Investment Co.","Biotechnology, Health Care, Therapeutics",
Hoggo,"Paris, Ile-de-France, France, Europe",Series A,11000000,EUR,2021-06-23,https://www.hoggo.com,Hoggo is an unique platform managing all the insurance for enterprise as well as a lot of HR benefits.,"Global Founders Capital, Partech","Human Resources, Insurance",
Bellman,"Paris, Ile-de-France, France, Europe",,11000000,EUR,2021-09-22,https://bellman.immo/,Bellman empowers property managers with tech and services so they can provide a service that is fast and transparent to property owners.,"BREEGA, Eric Setton, Lakestar","Marketing, Property Management, Real Estate",
Bloom,"Neuilly-sur-seine, Ile-de-France, France, Europe",Seed,11000000,EUR,2021-10-15,http://bloomsocialanalytics.com/,"Bloom is a business intelligence platform that focuses on social media analytics, data analytics and artificial intelligence solutions.","Bpifrance, Dassault Systemes","Analytics, Artificial Intelligence (AI), Internet",
LiveMentor,"Paris, Ile-de-France, France, Europe",,11000000,EUR,2021-10-06,https://www.livementor.com/,"LiveMentor is a francophone education platform, that provides remote tutoring.","Educapital, Impact Partners Nordic, Isai, Ring Capital","Education, Internet, Tutoring",
OceanWings,"Paris, Ile-de-France, France, Europe",Series A,10500000,EUR,2021-09-13,https://oceanwings.com,OceanWings is an industrial startup focused on the decarbonation of shipping using the wind as a propulsion solution.,"Bpifrance, GO CAPITAL, Ocean Zero","Industrial Engineering, Industrial Manufacturing, Manufacturing, Mechanical Engineering, Shipping",
Meiogenix,"Paris, Ile-de-France, France, Europe",Series A,11000000,EUR,2021-12-14,https://meiogenix.com,Meiogenix is a biotechnology company that develops breeding technologies.,"Alexandria Venture Investments, Bpifrance, Casdin Capital, Genoa Ventures, Sofinnova Partners","Biotechnology, Life Science, Pharmaceutical",
Maki,"Paris, Ile-de-France, France, Europe",Seed,11000000,EUR,2021-11-23,https://www.makipeople.com/,Maki is a skill assessment tool to assess and hire talents.,"Founders Future, Frst, Global Founders Capital, Picus Capital","Information Services, Information Technology, Recruiting, Software",
Wethenew,"Paris, Ile-de-France, France, Europe",Series A,10000000,EUR,2021-06-01,https://wethenew.com,Wethenew is a marketplace that focuses on selling streetwear and limited-edition sneakers.,"Christian Jorge, Frank Ntilikina, Singular","E-Commerce, Fashion, Marketplace, Retail",
Ringover,"Paris, Ile-de-France, France, Europe",Series A,10000000,EUR,2021-01-26,https://www.ringover.com,"Ringover is an AI-driven cloud-based conversation platform integrated in over 100 tools (CRM, Heldesk, Support, ATS…).",Expedition Growth Capital,"Artificial Intelligence (AI), Call Center, Collaboration, CRM, SaaS, Software",
Nxtfood,"Lille, Nord-Pas-de-Calais, France, Europe",,10000000,EUR,2021-01-01,https://nxtfood.fr/,Nxtfood develops plant-based alternatives to meat.,"Creadev, Roquette Ventures",Food and Beverage,
Knave,"Paris, Ile-de-France, France, Europe",Seed,10000000,EUR,2021-04-29,https://www.knave.eu,"Knave provides pay-per-use mobility solutions, managing white-label rental programs for consumers.",ACOFI,"Automotive, Electric Vehicle, Financial Services, Mobile Apps, Transportation",
SOS Accessoire,"La Verrière, Centre, France, Europe",,12000000,USD,2021-04-28,https://www.sos-accessoire.com,SOS Accessoire is an e-commerce site specialized in the sale of spare parts for all types of household appliances.,"ETF Partners, Quadia, Seed for Good, Starquest Capital","Consumer Goods, E-Commerce, Retail",
Eyevensys,"Paris, Ile-de-France, France, Europe",Series B,12000000,USD,2021-08-09,http://www.eyevensys.com,Eyevensys creates ophthalmic therapeutic bio factories to sustainably treat major eye diseases.,Korea Investment Partners,"Biotechnology, Medical Device, Therapeutics",
365talents,"Lyon, Rhone-Alpes, France, Europe",Series A,12000000,USD,2021-11-23,http://www.365talents.com,365talents provides talent management strategy services.,"Alliance Entreprendre, Axeleo Capital, Citizen Capital, IXO Private Equity, Ventech","Artificial Intelligence (AI), Human Resources, Management Information Systems, SaaS, Skill Assessment, Software",
Smart Kitchen,"Paris, Ile-de-France, France, Europe",,10000000,EUR,2021-04-14,https://www.originalfoodcourt.com/,Smart Kitchen is a premium digital kitchen network.,Groupe BMF,Restaurants,
Smartway,"Nantes, Pays de la Loire, France, Europe",Series A,10000000,EUR,2021-04-07,https://smartway.ai/en/,IA powered Food Waste Management System to reduce waste in supermarkets,"Carvest Crédit Agricole Régions Investissement, Evolem Start, Holnest, IDIA Capital Investissement, Supernova Invest, Unexo",Software,
Farmitoo,"Paris, Ile-de-France, France, Europe",Series A,10000000,EUR,2021-07-12,https://www.farmitoo.com/fr/,Farmitoo is an online purchase of farm equipment directly from manufacturers.,"Bpifrance, Fonds Ambition Amorçage Angels, IXO Private Equity, Ventech","Agriculture, E-Commerce, Farming, Machinery Manufacturing, Manufacturing",
900.care,"Paris, Ile-de-France, France, Europe",Seed,10000000,EUR,2021-06-30,https://900.care/,900.care provides refillable bathroom products that are better for you and the planet,"360 Capital, Anne-Carole Coen, Blue Impact Ventures, Founders Future, Lawrence Leuschner, Thibault Lamarque, White Star Capital","Consumer Goods, Personal Health",
Groupe Xerfi,"Paris, Ile-de-France, France, Europe",Growth Equity,10000000,EUR,2021-07-08,http://www.xerfi.com/,"Groupe Xerfi is in France the first private institute of economic studies, totally independent.",NextStage,"Market Research, News, Social Media",
Monisnap,"Paris, Ile-de-France, France, Europe",Series A,10000000,EUR,2021-07-01,https://www.monisnap.com/fr/,Monisnap is a French-based fintech providing remittance services.,"Evolem Start, Serena, Truffle Capital",FinTech,
MisterFly,"Paris, Ile-de-France, France, Europe",,10000000,EUR,2021-07-26,https://www.misterfly.com/,MisterFly is an online travel agency for reservation.,"Bpifrance, IRIS, Montefiore Investment","Air Transportation, E-Commerce, Reservations, Tourism, Travel",
Wefight,"Paris, Ile-de-France, France, Europe",Series A,10000000,EUR,2021-09-14,https://wefight.co/,Wefight is a brand operating in the online gambling and lottery industry.,"Digital Health Ventures, Impactivist","Gambling, Gaming, Online Games",
MyTraffic,"Paris, Ile-de-France, France, Europe",Series A,10000000,EUR,2021-09-23,https://www.mytraffic.io,MyTraffic software development company that offers vehicle traffic data accessible and physical network services.,"Alven, Kernel","Big Data, Predictive Analytics, Real Estate, Retail Technology, Software",
360 medics,"Lyon, Rhone-Alpes, France, Europe",,10000000,EUR,2021-11-03,https://360medics.com,360 medics is a healthcare company that develops an informative digital application for medical and healthcare professionals.,"Impact Partners Nordic, Relyens","Health Care, Information Technology, Medical",
Ombrea,"Aix-en-provence, Provence-Alpes-Cote d'Azur, France, Europe",,10000000,EUR,2021-09-29,https://www.ombrea.fr/home,Ombrea is an environmental company that designs shade house systems for agricultural crops.,"CMA CGM, Mirova, Région Sud Investissement","Construction, Environmental Engineering, Mechanical Engineering",
Mila,"Puteaux, Ile-de-France, France, Europe",Seed,10000000,EUR,2021-10-29,https://www.mila.care/,Mila is an insurer specializing in real estate.,BREEGA,"Commercial Insurance, Insurance, InsurTech, Property Insurance",
Little Cigogne,"Paris, Ile-de-France, France, Europe",,10000000,EUR,2021-11-26,https://www.littlecigogne.com/,Little Cigogne is reinvents the shopping experience for children.,"SPiCE VC, UL Ventures","Fashion, Shopping",
ITK,"Clapiers, Languedoc-Roussillon, France, Europe",,10000000,EUR,2021-12-06,http://www.itk.fr/,"ITK is specialized in Artificial Intelligence (Mecanistical Modelling, Symbolic AI and ML) applied to Agriculture (crops and animal).","Banque Populaire du Sud, BNP Paribas Développement, EDF Pulse Croissance, Starquest Capital","Agriculture, AgTech, Artificial Intelligence (AI), Information Technology, Machine Learning, Software",
La Casa,"Paris, Ile-de-France, France, Europe",,10000000,EUR,2021-11-22,https://lacasa.io/,La Casa is a property management company that offers shared accommodation services for coliving.,"Abarines Invest, Victor Augais","Assisted Living, Property Management, Real Estate",
Zelros,"Paris, Ile-de-France, France, Europe",Series A,11000000,USD,2021-02-24,http://www.zelros.com/,Zelros is an end-to-end AI business platform that integrate standard scenarios for sales & claims.,"42CAP, astorya.vc, Benhamou Global Ventures, Hi Inov - Dentressangle, Isai, Plug and Play","Artificial Intelligence (AI), InsurTech, Machine Learning",
Wakeo,"Paris, Ile-de-France, France, Europe",Series A,11000000,USD,2021-10-19,http://wakeo.co,Wakeo provides a Saas platform to bring real time visibility on B2B transport flows.,"360 Capital, Promus Ventures","Freight Service, Internet of Things, Logistics, Machine Learning, SaaS, Shipping, Supply Chain Management, Transportation",
Zaion,"Paris, Ile-de-France, France, Europe",Series A,9000000,EUR,2021-05-26,https://zaion.ai,Zaion is a conversational and voice AI technology platform that supports customer relationships in the insurance and healthcare sectors.,"Bpifrance, Fortino Capital, La France Mutualiste, PRO BTP, Truffle Capital","Artificial Intelligence (AI), Information Services, Information Technology, Natural Language Processing, SaaS, Software",
Gravitee,"Lille, Nord-Pas-de-Calais, France, Europe",Series A,9300000,EUR,2021-07-21,https://gravitee.io,"Gravitee is an API management platform that provides tools for API design, access, management, deployment, and security.","AlbionVC, Oxx","Developer APIs, Information Technology, SaaS, Software",
AQEMIA,"Paris, Ile-de-France, France, Europe",Series A,9000000,EUR,2021-05-01,http://www.aqemia.com,"Aqemia accelerates drug discovery using quantum physics and AI, generating novel drug candidates without experimental data.","Elaia, Eurazeo","Artificial Intelligence (AI), Biotechnology, Life Science, Machine Learning, Pharmaceutical",
Saqara,"Paris, Ile-de-France, France, Europe",Series A,9000000,EUR,2021-09-20,https://saqara.com/,Saqara is a digital construction and infrastructure bid management platform.,"Activum, Concrete Venture Capital, Leigh Jasper, noa, The Caisse des Dépôts","Information Technology, Software",
Scalinx,"Paris, Ile-de-France, France, Europe",Series A,10500000,USD,2021-02-03,https://www.scalinx.com/,Scalinx operates as a semiconductor company that designs and industrializes chips for converting the analog electrical signal.,"BNP Paribas Développement, Caisse d’Epargne, NCI Waterstart, Normandie Participations, Unexo","Manufacturing, Product Design, Semiconductor, Wholesale",
PeopleSpheres,"Montpellier, Languedoc-Roussillon, France, Europe",,8500000,EUR,2021-04-22,https://peoplespheres.com/,"PeopleSpheres is to bringing you the future of HR NOW, through their best-in-class HR Platform as a Services (PaaS).","IRDI, Omnes Capital, Swen Capital Partners, UL Invest","Human Resources, Marketplace, PaaS, SaaS, Software",
Zéro-Gâchis,"Nantes, Pays de la Loire, France, Europe",,8500000,EUR,2021-04-07,http://zero-gachis.com,Zéro-Gâchis is an innovative service to save money and avoid food waste during your shopping,"Evolem Start, Holnest, IDIA Capital Investissement, Supernova Invest, Unexo","Communities, E-Commerce, Food and Beverage",
Klub,"Paris, Ile-de-France, France, Europe",Seed,8300000,EUR,2021-05-10,https://klub.ki/,Klub operates as a private wealth and private services platform.,"Alexandre Yazdi, Amnis Ventures, BlackDragon, Cyril Paglino, Guillaume Lestrade, Moonwhale Ventures, Owen Simonin, Ron Stolero, Tariq Krim","Finance, Financial Services, Impact Investing",
Micropep Technologies,"Ramonville-saint-agne, Midi-Pyrenees, France, Europe",Series A,8500000,EUR,2021-07-08,http://micro-pep.com/,Micropep Technologies is a biotech company that focused on biological alternatives to agrochemicals.,"FMC Ventures, IRDI, Sofinnova Partners, Supernova Invest","Agriculture, Biotechnology, Chemical, Lead Generation",
Simundia,"Paris, Ile-de-France, France, Europe",,10000000,USD,2021-10-12,https://www.simundia.com/en/,Simundia is a provider of digital coaching platform for a personalized development experience.,"AVP, Educapital, Fabrice Grinda, FJ Labs, Impact USA","Education, Human Resources, Training",
SheeldMarket,"Paris, Ile-de-France, France, Europe",Series A,10000000,USD,2021-10-12,https://sheeldmarket.com/,SheeldMarket is a cryptocurrency trading platform intended to keep the positions of the market participants hidden.,"Alexis Bonillo, Atomico, Axeleo Capital, Draper Dragon, Semantic Ventures","Cryptocurrency, Finance, Financial Services, FinTech",
protera,"Neuilly-sur-seine, Ile-de-France, France, Europe",Series A,10000000,USD,2021-07-28,https://www.proterabio.com,Protera is a biotechnology company that produce protein-based food ingredients.,"Grupo Bimbo, ICL Group, Sofinnova Partners, SOSV","Biotechnology, Food and Beverage, Product Research",
GOURMEY,"Paris, Ile-de-France, France, Europe",Seed,10000000,USD,2021-07-14,https://gourmey.com,We create sustainable cultivated meat delights for an uncompromising and conscious generation.,"Air Street Capital, Ataraxia, Beyond Investing, Big Idea Ventures, Bpifrance, European Commission, Eutopia VC, Heartcore Capital, Partech, Point Nine, Social Starts, Sylvain Zimmer","Alternative Protein, Food and Beverage, Life Science",
FAIRMAT,"Paris, Ile-de-France, France, Europe",Seed,10000000,USD,2021-09-28,https://fairmat.tech,"Recycling Carbon Fiber Composite to produce a strong, light and ecological material with advanced technical grades",Singular,"Advanced Materials, Automotive, CleanTech, Consumer Electronics, Leisure, Manufacturing, Recycling, Sports",
C12 Quantum Electronics,"Paris, Ile-de-France, France, Europe",Seed,10000000,USD,2021-06-08,https://www.c12qe.com/,C12 Quantum Electronics develop reliable quantum processors with carbon nanotubes.,"360 Capital, Airbus Ventures, BNP Paribas Développement, Bpifrance, Octave Klaba, Rand Hindi","Machine Learning, Nanotechnology, Product Design, Quantum Computing, Semiconductor",
BellyButton,"Serris, Ile-de-France, France, Europe",Series A,10000000,USD,2021-11-14,https://bellybutton-group.com,Bellybutton is a digital advertising service that plans and manages influencer marketing campaigns for brands.,,"Advertising, Digital Marketing, Marketing",
Alstom,"Saint-ouen, Ile-de-France, France, Europe",,10000000,USD,2021-12-01,https://www.alstom.com/,"Alstom is a global leader in the world of power generation, power transmission, and rail infrastructure.",Rural Development Partners,"Energy Efficiency, Infrastructure, Transportation",
Jus Mundi,"Paris, Ile-de-France, France, Europe",Series A,8500000,EUR,2021-09-21,https://jusmundi.com/,Jus Mundi is the search engine for international and arbitration,"Acequia Capital (AceCap), C4 Ventures, Elkstone Capital Partners, Financiere Saint James, FJ Labs, Holnest, INSEAD Business Angels Alumni France, Seed4Soft","Artificial Intelligence (AI), Internet, Legal, Legal Tech, Software",
ALEIA,"Paris, Ile-de-France, France, Europe",Seed,8000000,EUR,2021-01-01,https://www.aleia.com/,ALEIA is an IT firm that offers a platform to assist individuals with AI-related projects.,"Bpifrance, Charles Beigbeder, George Godula, Raphael Auphan","Artificial Intelligence (AI), Information Services, Information Technology",
Arianee,"Paris, Ile-de-France, France, Europe",Seed,8000000,EUR,2021-03-11,https://www.arianee.org/,"The first perpetual, anonymous, and trusted record of global assets.","Bpifrance, Clément Buyse, Cygni Capital, Isai, Jonathan Benhamou, Jonathan Cherki, NOIA Capital, Thibaud Elziere","Blockchain, Cryptocurrency, Fashion, Information Technology",
Beam,"Paris, Ile-de-France, France, Europe",Series A,9500000,USD,2021-02-03,https://beamapp.co/,Beam is a software startup that collects their thoughts and experience through the Internet.,"Albert Wenger, Alven, C4 Ventures, Christian Reber, Harry Stebbings, Pace Capital, Spark Capital, Tapestry VC","Internet, Software, Web Browsers, Web Development",
Instant System,"Biot, Provence-Alpes-Cote d'Azur, France, Europe",Series A,8000000,EUR,2021-03-23,http://www.instant-system.com/,Instant System is a software company that provides multimodal transport solutions.,"Demeter, Opera Tech Ventures","Enterprise Software, Information Technology, Transportation",
Colizey,"Paris, Ile-de-France, France, Europe",Series A,8000000,EUR,2021-09-15,https://colizey.fr,Colizey is an online marketplace dedicated to sporting goods.,"Aglaé Ventures, CASSIUS, Cathay Innovation, Teddy Riner, Tony Parker","E-Commerce, Marketplace, Sporting Goods",
iDGARAGES.com,"Arcueil, Ile-de-France, France, Europe",,8000000,EUR,2021-10-27,https://www.idgarages.com/,iDGARAGES.com is an online marketplace that connects motorists and garages.,"Banque des Territoires, Parts Holding Europe","Automotive, E-Commerce, Service Industry",
SESAMm,"Paris, Ile-de-France, France, Europe",Series B,7500000,EUR,2021-01-28,https://www.sesamm.com/,SESAMm is a fintech company that specializes in big data and artificial intelligence for investment.,"Angelsquare, Banques Populaires, Bpifrance, Caisse d’Epargne, Havenrock, NewAlpha Asset Management VC, The Carlyle Group","Analytics, Artificial Intelligence (AI), Asset Management, Data Visualization, Finance, FinTech, Impact Investing, Machine Learning, Predictive Analytics, Sustainability",
Milvue,"Paris, Ile-de-France, France, Europe",Series A,8000000,EUR,2021-12-15,https://milvue.com,Milvue is an AI-based software solution provider company.,,"Artificial Intelligence (AI), Information Technology, Software",
MiiMOSA,"Paris, Ile-de-France, France, Europe",,7500000,EUR,2021-03-18,https://www.miimosa.com,MiiMOSA operates a crowd funding platform dedicated to agriculture and food.,"Alter Equity 3P, Astanor Ventures, FAMM, Invivo Capital Partners, PhiTrust Impact Investors, Quadia, The Daniel and Nina Carasso Foundation","Agriculture, Food and Beverage, Internet",
Les Opticiens Mobiles,"Lyon, Rhone-Alpes, France, Europe",Series B,7500000,EUR,2021-04-07,https://www.lesopticiensmobiles.com/,Access visual health directly where you live and work !,"123 Investment Managers, Amundi Private Equity Funds, Evolem Start, Impactivist","Eyewear, Retail",
iFollow,"Gentilly, Ile-de-France, France, Europe",Series A,7500000,EUR,2021-11-02,https://www.ifollow.fr/,iFollow develops collaborative autonomous robots for the logistics industry and the retail industry.,"Axeleo Capital, Bpifrance, Socadif, Supernova Invest, WaterStart Capital","Logistics, Robotics, Software",
Rediv,"Bayonne, Aquitaine, France, Europe",Series A,6060000,GBP,2021-05-19,https://rediv.com/en,Rediv is a leading european online shop to buy and sell like-new kids' clothing.,"Colam Impact, Creas, Quadia, Volta Circle","E-Commerce, Fashion, Retail, Shopping",
W & nergy,"Saint-nolff, Bretagne, France, Europe",Seed,7000000,EUR,2021-02-22,,W & nergy is a France company engages in pyrogasification business.,Eiffel Investment Group,"Energy, Renewable Energy",
Adionics,"Thiais, Ile-de-France, France, Europe",Series A,7000000,EUR,2021-06-03,http://www.adionics.com/en,"Adionics provides ionic solutions for salt separations, lithium, and iodide extractions.","Bpifrance, Celeste Management, Flavien Kulawik, Supernova Invest","Environmental Engineering, Mining, Water Purification",
Kitch'n Box,"Saint-ouen, Ile-de-France, France, Europe",Series A,7000000,EUR,2021-05-12,https://www.kitchnbox.fr/,Créateur d’espaces aménagés et de services optimisés pour les acteurs de la restauration et de la FoodTech,Elevation Capital Partners,"Food and Beverage, Property Development, Rental",
Jungle France,"Épaux-bézu, Picardie, France, Europe",,7000000,EUR,2021-03-22,https://www.jungle.bio/old-home,Jungle France is an AgTech company that engages in vertical farming and hydroponics.,"Alain Dinin, Antler, Christian de Labriffe, Demeter Partners, Founders Future, Serge Papin","AgTech, Farming, Food Processing, Hydroponics",
UroMems,"Grenoble, Rhone-Alpes, France, Europe",Series B,7000000,EUR,2021-04-06,http://uromems.com/,UroMems is an innovative medtech company.,"Arbevel, b2venture, Bpifrance, Hil-Invent, Supernova Invest, Wellington Partners","Health Care, Medical, Medical Device",
Modjo,"Paris, Ile-de-France, France, Europe",Series A,7000000,EUR,2021-09-01,https://www.modjo.ai/,Modjo is a conversation Intelligence platform that captures and analyzes customer interaction then delivers insights at scale.,"Daphni, Financiere Saint James","Analytics, SaaS, Software",
Opencell Software,"Dijon, Bourgogne, France, Europe",Series A,6800000,EUR,2021-01-25,https://opencellsoft.com/,Opencell is an agile monetization platform that lets you manage your customer lifecycle from start to finish on a single platform.,"Alliance Entreprendre, Cap Innov'Est, Seventure Partners","Billing, Enterprise Software, Information Technology, Software",
Regate,"Paris, Ile-de-France, France, Europe",Seed,7000000,EUR,2021-04-04,https://regate.io/,Regate develops a SaaS platform designed to streamline accounting and financial operations.,"Financiere Saint James, Thomas Rebaud","Accounting, Finance, Financial Services, FinTech, Payments",
Tilak Healthcare,"Paris, Ile-de-France, France, Europe",Series A,7000000,EUR,2021-10-28,http://www.tilakhealthcare.com/,Tilak build a series of fun medical games to change the way we monitor chronic diseases.,"Elaia, iBionext, Matmut Innovation, Swen Capital Partners","Gaming, Health Care, Medical, Medical Device",
Beem Energy,"Nantes, Pays de la Loire, France, Europe",Series A,7000000,EUR,2021-10-18,https://beemenergy.fr/,Beem Energy is a manufacturer of home energy efficiency and energy management systems such as solar kits.,"360 Capital, Alter Equity 3P, BNP Paribas Développement, Bpifrance, David Sloo","Consumer Electronics, Energy, Manufacturing, Solar",
YESITIS,"Clermont-ferrand, Auvergne, France, Europe",,7000000,EUR,2021-11-01,http://www.yesitis.fr,"Yes It Is solutions, YESITIS give secure digital “identities” to physical objects.","Crédit Agricole, UI Investissement","Artificial Intelligence (AI), Big Data, Information Technology, Internet",
MyTower,"Paris, Ile-de-France, France, Europe",,7000000,EUR,2021-10-05,https://mytower.co,MyTower is a publisher of TMS (Transport Management System) and GTM (Global Trade Management) platforms and software for shippers.,Reflexion Capital,"Logistics, Software, Supply Chain Management",
Rarecells,"Paris, Ile-de-France, France, Europe",Series A,8000000,USD,2021-07-22,https://www.rarecells.com,Rarecells Inc. is a healthcare company focused on the development and commercialization of non-invasive Early Cancer Detection tests.,"AA Sons, Globivest","Biotechnology, Health Care",
Collective,"Paris, Ile-de-France, France, Europe",Seed,8000000,USD,2021-12-09,https://www.collective.work/,"Collective.work is the first professional network built for freelancers, offering professional recruiters AI-powered sourcing tools.","Background Capital, Blossom Capital, Kima Ventures, Saturnin Pugnet","B2B, Marketplace, SaaS",
NewHeat,"Bègles, Aquitaine, France, Europe",,7000000,EUR,2021-11-30,http://newheat.fr/,NewHeat owns and operates solar heat plants.,Bpifrance,"Machinery Manufacturing, Solar",
MYRE,"Paris, Ile-de-France, France, Europe",Series A,7000000,EUR,2021-12-01,https://www.getmyre.com/,"MYRE is a secure, collaborative, SaaS platform for Asset management in Commercial Real Estate.","Groupe TERROT, Jean Peyrelevade, Naxicap Partners, NewAlpha Asset Management VC","Financial Services, FinTech, Information Technology, Real Estate, SaaS",
Easiware,"Paris, Ile-de-France, France, Europe",Growth Equity,7000000,EUR,2021-12-05,https://www.easiware.com,Easiware is a multi-channel application processing software to enhance customer knowledge.,Ardian,"CRM, Customer Service, E-Learning, SaaS, Software, Training",508636537
Pyxo,"Paris, Ile-de-France, France, Europe",Seed,7000000,EUR,2021-11-25,https://pyxo.co/,Pyxo replace disposable packaging of food through a network of reusable containers.,"AFI Ventures, Eurazeo, Evolem Start, Five Seasons Ventures","CleanTech, Recycling, Sustainability, Waste Management",
Les Raffineurs,"Paris, Ile-de-France, France, Europe",,6500000,EUR,2021-10-07,https://www.lesraffineurs.com,"LesRaffineurs, Online and in stores, They offer a selection of items to savor and experiences to enjoy.",Generis Capital Partners,"E-Commerce, Gift, Retail",
dydu,"Paris, Ile-de-France, France, Europe",Seed,6300000,EUR,2021-03-15,http://www.dydu.ai,"Dydu edits a software to create and easily manage conversation robots : chatbot, callbot & voicebot.","Crédit Agricole, Entrepreneur Invest","Artificial Intelligence (AI), Chatbot, Enterprise Software, Information Technology, Machine Learning, Software",
Fintecture,"Saint-mandé, Ile-de-France, France, Europe",Seed,6200000,EUR,2021-05-04,https://www.fintecture.com/,Pioneering next-gen B2B payment platform. Fintecture is a licensed payment institution (ACPR-17248),"HEC Ventures, RTP Global, Samaipata, Target Global","B2B, Financial Services, FinTech, Payments",
1Kubator,"Lyon, Rhone-Alpes, France, Europe",,6000000,EUR,2021-01-07,https://www.1kubator.com/,"1Kubator offers training, incubation programs, acceleration programs and open innovation offers.","Banque Populaire RhÃ'ne Alpes, BNP Paribas, BNP Paribas Cardif, Bpifrance, Caisse d’Epargne, Grand Sud Ouest Capital","Financial Services, FinTech, Incubators",
Hosman,"Paris, Ile-de-France, France, Europe",,6000000,EUR,2021-05-21,https://www.hosman.co/,Hosman is a real estate platform which facilitates the sale of residential properties by connecting property owners with buyers,"Andreas Wiele, LBO France, NCI Waterstart, UL Invest",Internet,
Mansa,"Paris, Ile-de-France, France, Europe",Series A,6000000,EUR,2021-03-01,http://getmansa.com/,Mansa allows freelancers and gig workers borrow money with fair pricing and a genuine user experience.,"AA Sons, Anthemis, Didier Valet, Founders Future, Laurent Ritter, Mathieu Laine, Purple, Romain Afflelou, Yannick Bollore","FinTech, Lending, Software",
Cajoo,"Paris, Ile-de-France, France, Europe",Seed,6000000,EUR,2021-02-04,https://www.cajoo.eu/,Cajoo is the French Q-commerce company that delivers groceries to your door in minutes,"Frst, XAnge","Delivery, Delivery Service, E-Commerce, Grocery, Retail, Same Day Delivery",
